ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
2447656412147213,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T22:24:19+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2447656412147213
504011960185034,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T22:24:18+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=504011960185034
451472782165789,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T22:24:12+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=451472782165789
1195626670825315,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T22:24:12+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=1195626670825315
410161679656695,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T22:24:06+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=410161679656695
2411303709136253,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T22:24:06+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2411303709136253
480425839230301,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T22:24:02+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=480425839230301
2437405709841830,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T22:24:02+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2437405709841830
555014955249588,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T22:23:58+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=555014955249588
614648039071965,775525186130124,Center for a Free Economy,America doesn’t want a Green New Deal! And it sure doesn’t want to subsidize liberal environmental projects that can stand on their own! Tell liberal politicians Nancy Pelosi and AOC we don’t want to continue tax breaks for profitable renewable energy projects! Say NO to another taxpayer subsidized Solar Investment Tax Credit!,,,,2019-10-30T22:22:46+0000,2019-12-31T14:05:20+0000,Center for a Free Economy,2000,2999,0,99,https://www.facebook.com/ads/library/?id=614648039071965
590852851455717,1809715209318581,Marjorie Taylor Greene for Congress,"I've never held or run for political office before. 

I've spent my life building my business and raising my three amazing children alongside my husband Perry. 

But I cannot sit by while Nancy Pelosi, AOC and Ilhan Omar roadblock President Trump and the will of the American people.

I'm sick and tired of their anti-Trump, anti-America rhetoric, and their phony witch hunt to try and overturn the 2016 elections. 

I'm running because I care about our country. And once I'm elected, I'm going to fight against the socialists in Congress trying to ram their agenda down the throat of every man, woman and child.

People like Jim Jordan and Mark Meadows need allies in Congress. 

Trump needs more allies in Congress. 

AOC, Ilhan Omar, Rashida Tlaib. . .they've never faced a strong, pro-Trump conservative. 

In fact, they've never faced a southern mother of three!

If you're like me, and have had enough of the socialists in Congress, then I'm asking you to please chip in $100 right now to help me share my message to Georgia voters? 

DONATE HERE >>> https://secure.anedot.com/greene-for-congress-inc/keep-ga-red-fb

If that's simply more than you can afford right now, please consider a gift of $50, $25 or even just $10 right away! 

DONATE HERE>>>https://secure.anedot.com/greene-for-congress-inc/keep-ga-red-fb",,,,2019-10-30T22:04:51+0000,2019-11-01T22:04:48+0000,Greene for Congress,1000,1999,0,99,https://www.facebook.com/ads/library/?id=590852851455717
2474979132738399,297281494147774,Good Morning Liberty,"Are you sick of AOC and BS? Help us defeat Democratic Socialism by hitting ""Like."" We'll give you a Liberty-minded take on today's crazy political world.",,,,2019-10-30T17:18:43+0000,,"Paradexo, LLC",0,999,0,99,https://www.facebook.com/ads/library/?id=2474979132738399
862799254118430,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T14:16:01+0000,,FCTRY,1000,1999,0,99,https://www.facebook.com/ads/library/?id=862799254118430
2478600938913503,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T14:15:40+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2478600938913503
531071691004459,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T14:14:11+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=531071691004459
400649450812662,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T14:13:53+0000,,FCTRY,2000,2999,0,99,https://www.facebook.com/ads/library/?id=400649450812662
2547650861981566,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T14:13:42+0000,,FCTRY,1000,1999,0,99,https://www.facebook.com/ads/library/?id=2547650861981566
2123870167922076,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T14:13:38+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2123870167922076
779186619160997,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T14:13:17+0000,,FCTRY,1000,1999,0,99,https://www.facebook.com/ads/library/?id=779186619160997
2436131549962662,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T14:13:06+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=2436131549962662
524351464790099,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,kickstarter.com,On Kickstarter Now,AOC Action Figure,2019-10-30T14:11:56+0000,,FCTRY,2000,2999,0,99,https://www.facebook.com/ads/library/?id=524351464790099
1342599119243552,30708742052,FCTRY,It's official! We're turning AOC into an action figure 👏,www.kickstarter.com,On Kickstarter Now,,2019-10-30T14:11:52+0000,,FCTRY,0,999,0,99,https://www.facebook.com/ads/library/?id=1342599119243552
