ad_id,age,gender,percentage
2447656412147213,65+,male,0.070588
2447656412147213,18-24,female,0.070588
2447656412147213,45-54,male,0.164706
2447656412147213,55-64,male,0.094118
2447656412147213,25-34,male,0.105882
2447656412147213,65+,female,0.058824
2447656412147213,45-54,female,0.047059
2447656412147213,18-24,male,0.047059
2447656412147213,35-44,female,0.035294
2447656412147213,35-44,male,0.129412
2447656412147213,25-34,female,0.035294
2447656412147213,55-64,unknown,0.011765
2447656412147213,55-64,female,0.117647
2447656412147213,18-24,unknown,0.011765
504011960185034,65+,female,0.0625
504011960185034,65+,male,0.25
504011960185034,35-44,male,0.0625
504011960185034,18-24,female,0.0625
504011960185034,25-34,male,0.125
504011960185034,45-54,male,0.25
504011960185034,18-24,male,0.0625
504011960185034,35-44,female,0.0625
504011960185034,55-64,female,0.0625
451472782165789,25-34,male,0.034091
451472782165789,55-64,female,0.125
451472782165789,65+,female,0.159091
451472782165789,55-64,male,0.193182
451472782165789,35-44,female,0.079545
451472782165789,45-54,female,0.079545
451472782165789,35-44,unknown,0.011364
451472782165789,18-24,female,0.045455
451472782165789,65+,male,0.102273
451472782165789,35-44,male,0.079545
451472782165789,25-34,female,0.022727
451472782165789,45-54,male,0.045455
451472782165789,18-24,male,0.011364
451472782165789,45-54,unknown,0.011364
1195626670825315,65+,male,0.125
1195626670825315,45-54,male,0.125
1195626670825315,65+,female,0.166667
1195626670825315,55-64,female,0.083333
1195626670825315,18-24,male,0.041667
1195626670825315,45-54,female,0.041667
1195626670825315,25-34,male,0.083333
1195626670825315,35-44,female,0.125
1195626670825315,55-64,male,0.166667
1195626670825315,35-44,male,0.041667
410161679656695,55-64,male,0.060606
410161679656695,45-54,male,0.151515
410161679656695,45-54,female,0.212121
410161679656695,35-44,female,0.090909
410161679656695,35-44,male,0.151515
410161679656695,25-34,female,0.060606
410161679656695,65+,male,0.030303
410161679656695,65+,female,0.090909
410161679656695,55-64,female,0.151515
2411303709136253,45-54,female,0.25
2411303709136253,55-64,male,0.25
2411303709136253,65+,unknown,0.25
2411303709136253,45-54,male,0.25
480425839230301,55-64,female,0.192771
480425839230301,45-54,female,0.072289
480425839230301,35-44,female,0.072289
480425839230301,45-54,male,0.13253
480425839230301,45-54,unknown,0.012048
480425839230301,65+,male,0.120482
480425839230301,35-44,male,0.096386
480425839230301,65+,female,0.156627
480425839230301,35-44,unknown,0.012048
480425839230301,55-64,male,0.072289
480425839230301,25-34,male,0.024096
480425839230301,25-34,female,0.024096
480425839230301,18-24,male,0.012048
2437405709841830,25-34,unknown,0.090909
2437405709841830,35-44,male,0.090909
2437405709841830,65+,male,0.272727
2437405709841830,55-64,male,0.181818
2437405709841830,45-54,female,0.181818
2437405709841830,55-64,female,0.181818
555014955249588,45-54,male,0.117647
555014955249588,55-64,female,0.117647
555014955249588,65+,male,0.058824
555014955249588,35-44,female,0.205882
555014955249588,35-44,male,0.117647
555014955249588,25-34,female,0.088235
555014955249588,45-54,female,0.058824
555014955249588,35-44,unknown,0.029412
555014955249588,25-34,male,0.029412
555014955249588,65+,female,0.029412
555014955249588,18-24,female,0.029412
555014955249588,55-64,male,0.117647
614648039071965,18-24,male,0.078534
614648039071965,55-64,female,0.063874
614648039071965,55-64,unknown,0.000349
614648039071965,35-44,unknown,0.001047
614648039071965,25-34,unknown,0.000349
614648039071965,45-54,unknown,0.001745
614648039071965,35-44,female,0.02164
614648039071965,45-54,female,0.032112
614648039071965,35-44,male,0.084468
614648039071965,65+,unknown,0.001396
614648039071965,25-34,female,0.027574
614648039071965,18-24,female,0.019546
614648039071965,65+,female,0.115532
614648039071965,55-64,male,0.172775
614648039071965,65+,male,0.154276
614648039071965,25-34,male,0.092147
614648039071965,45-54,male,0.132286
614648039071965,18-24,unknown,0.000349
590852851455717,55-64,male,0.144343
590852851455717,65+,male,0.106422
590852851455717,35-44,male,0.142508
590852851455717,65+,unknown,0.00367
590852851455717,45-54,male,0.166361
590852851455717,25-34,male,0.09419
590852851455717,55-64,female,0.098471
590852851455717,65+,female,0.120489
590852851455717,45-54,female,0.056269
590852851455717,35-44,female,0.039755
590852851455717,25-34,female,0.023242
590852851455717,45-54,unknown,0.001835
590852851455717,35-44,unknown,0.001835
590852851455717,55-64,unknown,0.000612
2474979132738399,65+,male,0.230088
2474979132738399,55-64,female,0.123894
2474979132738399,55-64,male,0.274336
2474979132738399,65+,female,0.097345
2474979132738399,45-54,male,0.150442
2474979132738399,35-44,male,0.035398
2474979132738399,25-34,male,0.035398
2474979132738399,45-54,female,0.035398
2474979132738399,35-44,female,0.00885
2474979132738399,25-34,female,0.00885
862799254118430,45-54,male,0.142415
862799254118430,55-64,female,0.044892
862799254118430,18-24,unknown,0.006192
862799254118430,45-54,unknown,0.003096
862799254118430,65+,unknown,0.006966
862799254118430,35-44,unknown,0.010062
862799254118430,18-24,female,0.020124
862799254118430,18-24,male,0.041796
862799254118430,25-34,unknown,0.013932
862799254118430,35-44,female,0.075077
862799254118430,45-54,female,0.05031
862799254118430,65+,female,0.037152
862799254118430,25-34,female,0.060372
862799254118430,25-34,male,0.171827
862799254118430,35-44,male,0.178793
862799254118430,55-64,male,0.068885
862799254118430,65+,male,0.065789
862799254118430,55-64,unknown,0.002322
2478600938913503,25-34,male,0.066258
2478600938913503,35-44,male,0.104294
2478600938913503,65+,unknown,0.008589
2478600938913503,35-44,unknown,0.007362
2478600938913503,45-54,unknown,0.007362
2478600938913503,25-34,unknown,0.011043
2478600938913503,55-64,unknown,0.002454
2478600938913503,25-34,female,0.072393
2478600938913503,65+,female,0.079755
2478600938913503,35-44,female,0.080982
2478600938913503,18-24,female,0.014724
2478600938913503,45-54,female,0.120245
2478600938913503,45-54,male,0.134969
2478600938913503,55-64,female,0.088344
2478600938913503,65+,male,0.077301
2478600938913503,55-64,male,0.111656
2478600938913503,18-24,male,0.011043
2478600938913503,18-24,unknown,0.001227
531071691004459,25-34,male,0.120419
531071691004459,45-54,male,0.128272
531071691004459,55-64,unknown,0.002618
531071691004459,25-34,unknown,0.007853
531071691004459,45-54,unknown,0.007853
531071691004459,18-24,female,0.018325
531071691004459,35-44,unknown,0.015707
531071691004459,25-34,female,0.099476
531071691004459,35-44,male,0.128272
531071691004459,45-54,female,0.102094
531071691004459,18-24,male,0.026178
531071691004459,65+,male,0.031414
