ad_id,region,percentage
2447656412147213,Arizona,0.023529
2447656412147213,Nevada,0.011765
2447656412147213,Washington,0.070588
2447656412147213,Virginia,0.023529
2447656412147213,Vermont,0.011765
2447656412147213,Texas,0.023529
2447656412147213,Tennessee,0.011765
2447656412147213,South Carolina,0.023529
2447656412147213,Pennsylvania,0.058824
2447656412147213,Oklahoma,0.023529
2447656412147213,Ohio,0.058824
2447656412147213,North Carolina,0.011765
2447656412147213,New York,0.047059
2447656412147213,New Mexico,0.011765
2447656412147213,New Jersey,0.070588
2447656412147213,Nebraska,0.011765
2447656412147213,California,0.105882
2447656412147213,Mississippi,0.023529
2447656412147213,Minnesota,0.023529
2447656412147213,Michigan,0.070588
2447656412147213,Massachusetts,0.023529
2447656412147213,Maryland,0.023529
2447656412147213,Maine,0.023529
2447656412147213,Kansas,0.023529
2447656412147213,Indiana,0.023529
2447656412147213,Illinois,0.035294
2447656412147213,Idaho,0.011765
2447656412147213,Hawaii,0.011765
2447656412147213,Georgia,0.035294
2447656412147213,Florida,0.047059
2447656412147213,Wisconsin,0.023529
504011960185034,Alabama,0.0625
504011960185034,Arkansas,0.0625
504011960185034,California,0.1875
504011960185034,Illinois,0.0625
504011960185034,Massachusetts,0.125
504011960185034,New Jersey,0.0625
504011960185034,New York,0.125
504011960185034,North Dakota,0.0625
504011960185034,Ohio,0.0625
504011960185034,South Carolina,0.0625
504011960185034,Texas,0.0625
504011960185034,Washington,0.0625
451472782165789,Alabama,0.011364
451472782165789,New York,0.102273
451472782165789,Washington,0.045455
451472782165789,Virginia,0.022727
451472782165789,Vermont,0.011364
451472782165789,Utah,0.011364
451472782165789,Texas,0.045455
451472782165789,Tennessee,0.034091
451472782165789,South Carolina,0.011364
451472782165789,Rhode Island,0.022727
451472782165789,Pennsylvania,0.045455
451472782165789,Ohio,0.045455
451472782165789,North Carolina,0.022727
451472782165789,New Jersey,0.022727
451472782165789,Arizona,0.090909
451472782165789,Nevada,0.011364
451472782165789,Missouri,0.034091
451472782165789,Minnesota,0.034091
451472782165789,Michigan,0.034091
451472782165789,Massachusetts,0.034091
451472782165789,Iowa,0.045455
451472782165789,Illinois,0.056818
451472782165789,Hawaii,0.011364
451472782165789,Georgia,0.011364
451472782165789,Florida,0.056818
451472782165789,California,0.113636
451472782165789,Wisconsin,0.011364
1195626670825315,California,0.25
1195626670825315,Connecticut,0.041667
1195626670825315,Florida,0.041667
1195626670825315,Georgia,0.041667
1195626670825315,Illinois,0.125
1195626670825315,Indiana,0.041667
1195626670825315,Michigan,0.083333
1195626670825315,Missouri,0.041667
1195626670825315,New York,0.208333
1195626670825315,Oklahoma,0.041667
1195626670825315,Wisconsin,0.083333
410161679656695,Arizona,0.030303
410161679656695,New Hampshire,0.030303
410161679656695,Washington,0.030303
410161679656695,Virginia,0.030303
410161679656695,Texas,0.060606
410161679656695,Pennsylvania,0.090909
